p,e1,e2
0.38819,-0.93766,-0.94981
0.38959,-0.93721,-0.94936
0.39099,-0.93676,-0.94890
0.39239,-0.93631,-0.94844
0.39379,-0.93586,-0.94798
0.39520,-0.93541,-0.94752
0.39660,-0.93495,-0.94706
0.39800,-0.93449,-0.94660
0.39940,-0.93403,-0.94613
0.40080,-0.93357,-0.94566
0.40220,-0.93311,-0.94520
0.40360,-0.93265,-0.94472
0.40501,-0.93219,-0.94425
0.40641,-0.93172,-0.94378
0.40781,-0.93125,-0.94330
0.40921,-0.93078,-0.94283
0.41061,-0.93031,-0.94235
0.41201,-0.92984,-0.94187
0.41341,-0.92936,-0.94139
0.41481,-0.92889,-0.94090
0.41622,-0.92841,-0.94042
0.41762,-0.92793,-0.93993
0.41902,-0.92745,-0.93944
0.42042,-0.92697,-0.93895
0.42182,-0.92649,-0.93846
0.42322,-0.92600,-0.93797
0.42462,-0.92552,-0.93747
0.42603,-0.92503,-0.93697
0.42743,-0.92454,-0.93648
0.42883,-0.92405,-0.93598
0.43023,-0.92356,-0.93547
0.43163,-0.92306,-0.93497
0.43303,-0.92257,-0.93447
0.43443,-0.92207,-0.93396
0.43584,-0.92157,-0.93345
0.43724,-0.92107,-0.93294
0.43864,-0.92057,-0.93243
0.44004,-0.92007,-0.93192
0.44144,-0.91956,-0.93140
0.44284,-0.91905,-0.93089
0.44424,-0.91855,-0.93037
0.44565,-0.91804,-0.92985
0.44705,-0.91753,-0.92933
0.44845,-0.91701,-0.92880
0.44985,-0.91650,-0.92828
0.45125,-0.91598,-0.92775
0.45265,-0.91547,-0.92723
0.45405,-0.91495,-0.92670
0.45546,-0.91443,-0.92616
0.45686,-0.91391,-0.92563
0.45826,-0.91338,-0.92510
0.45966,-0.91286,-0.92456
0.46106,-0.91233,-0.92402
0.46246,-0.91180,-0.92348
0.46386,-0.91127,-0.92294
0.46527,-0.91074,-0.92240
0.46667,-0.91021,-0.92186
0.46807,-0.90968,-0.92131
0.46947,-0.90914,-0.92076
0.47087,-0.90860,-0.92021
0.47227,-0.90807,-0.91966
0.47367,-0.90753,-0.91911
0.47508,-0.90698,-0.91856
0.47648,-0.90644,-0.91800
0.47788,-0.90590,-0.91744
0.47928,-0.90535,-0.91689
0.48068,-0.90480,-0.91633
0.48208,-0.90425,-0.91576
0.48348,-0.90370,-0.91520
0.48488,-0.90315,-0.91463
0.48629,-0.90260,-0.91407
0.48769,-0.90204,-0.91350
0.48909,-0.90149,-0.91293
0.49049,-0.90093,-0.91236
0.49189,-0.90037,-0.91178
0.49329,-0.89981,-0.91121
0.49469,-0.89924,-0.91063
0.49610,-0.89868,-0.91005
0.49750,-0.89811,-0.90947
0.49890,-0.89755,-0.90889
0.50030,-0.89698,-0.90831
0.50170,-0.89641,-0.90772
0.50310,-0.89584,-0.90713
0.50450,-0.89526,-0.90655
0.50591,-0.89469,-0.90596
0.50731,-0.89411,-0.90536
0.50871,-0.89353,-0.90477
0.51011,-0.89296,-0.90418
0.51151,-0.89238,-0.90358
0.51291,-0.89179,-0.90298
0.51431,-0.89121,-0.90238
0.51572,-0.89062,-0.90178
0.51712,-0.89004,-0.90118
0.51852,-0.88945,-0.90057
0.51992,-0.88886,-0.89997
0.52132,-0.88827,-0.89936
0.52272,-0.88768,-0.89875
0.52412,-0.88708,-0.89814
0.52553,-0.88649,-0.89752
0.52693,-0.88589,-0.89691
0.52833,-0.88529,-0.89629
0.52973,-0.88469,-0.89568
0.53113,-0.88409,-0.89506
0.53253,-0.88349,-0.89443
0.53393,-0.88288,-0.89381
0.53534,-0.88228,-0.89319
