p,e1,e2
0.34755,-2.97065,-3.08318
0.34895,-2.97042,-3.08294
0.35035,-2.97019,-3.08269
0.35175,-2.96996,-3.08245
0.35315,-2.96973,-3.08220
0.35455,-2.96950,-3.08195
0.35596,-2.96926,-3.08170
0.35736,-2.96903,-3.08145
0.35876,-2.96879,-3.08120
0.36016,-2.96856,-3.08095
0.36156,-2.96832,-3.08070
0.36296,-2.96808,-3.08044
0.36436,-2.96784,-3.08019
0.36577,-2.96760,-3.07993
0.36717,-2.96736,-3.07968
0.36857,-2.96712,-3.07942
0.36997,-2.96688,-3.07916
0.37137,-2.96664,-3.07890
0.37277,-2.96639,-3.07864
0.37417,-2.96615,-3.07838
0.37558,-2.96590,-3.07812
0.37698,-2.96566,-3.07785
0.37838,-2.96541,-3.07759
0.37978,-2.96516,-3.07732
0.38118,-2.96492,-3.07706
0.38258,-2.96467,-3.07679
0.38398,-2.96442,-3.07652
0.38539,-2.96417,-3.07625
0.38679,-2.96392,-3.07598
0.38819,-2.96367,-3.07571
0.38959,-2.96341,-3.07544
0.39099,-2.96316,-3.07516
0.39239,-2.96291,-3.07489
0.39379,-2.96265,-3.07461
0.39520,-2.96239,-3.07434
0.39660,-2.96214,-3.07406
0.39800,-2.96188,-3.07378
0.39940,-2.96162,-3.07350
0.40080,-2.96136,-3.07322
0.40220,-2.96111,-3.07294
0.40360,-2.96085,-3.07266
0.40501,-2.96058,-3.07237
0.40641,-2.96032,-3.07209
0.40781,-2.96006,-3.07180
0.40921,-2.95980,-3.07152
0.41061,-2.95953,-3.07123
0.41201,-2.95927,-3.07094
0.41341,-2.95900,-3.07065
0.41481,-2.95874,-3.07036
0.41622,-2.95847,-3.07007
0.41762,-2.95820,-3.06978
0.41902,-2.95794,-3.06949
0.42042,-2.95767,-3.06919
0.42182,-2.95740,-3.06890
0.42322,-2.95713,-3.06860
0.42462,-2.95686,-3.06830
0.42603,-2.95659,-3.06801
0.42743,-2.95631,-3.06771
0.42883,-2.95604,-3.06741
0.43023,-2.95577,-3.06711
0.43163,-2.95549,-3.06680
0.43303,-2.95522,-3.06650
0.43443,-2.95494,-3.06620
0.43584,-2.95466,-3.06589
0.43724,-2.95439,-3.06559
0.43864,-2.95411,-3.06528
0.44004,-2.95383,-3.06497
0.44144,-2.95355,-3.06466
0.44284,-2.95327,-3.06435
0.44424,-2.95299,-3.06404
0.44565,-2.95271,-3.06373
0.44705,-2.95243,-3.06342
0.44845,-2.95214,-3.06310
0.44985,-2.95186,-3.06279
0.45125,-2.95158,-3.06247
0.45265,-2.95129,-3.06216
0.45405,-2.95101,-3.06184
0.45546,-2.95072,-3.06152
0.45686,-2.95043,-3.06120
0.45826,-2.95015,-3.06088
0.45966,-2.94986,-3.06056
0.46106,-2.94957,-3.06024
0.46246,-2.94928,-3.05991
0.46386,-2.94899,-3.05959
0.46527,-2.94870,-3.05926
0.46667,-2.94841,-3.05894
0.46807,-2.94812,-3.05861
0.46947,-2.94783,-3.05828
0.47087,-2.94753,-3.05795
0.47227,-2.94724,-3.05762
0.47367,-2.94694,-3.05729
0.47508,-2.94665,-3.05696
0.47648,-2.94635,-3.05662
0.47788,-2.94606,-3.05629
0.47928,-2.94576,-3.05595
0.48068,-2.94546,-3.05562
0.48208,-2.94517,-3.05528
0.48348,-2.94487,-3.05494
0.48488,-2.94457,-3.05460
0.48629,-2.94427,-3.05426
0.48769,-2.94397,-3.05392
0.48909,-2.94367,-3.05358
0.49049,-2.94336,-3.05323
0.49189,-2.94306,-3.05289
0.49329,-2.94276,-3.05255
0.49469,-2.94246,-3.05220
0.49610,-2.94215,-3.05185
0.49750,-2.94185,-3.05150
0.49890,-2.94154,-3.05116
0.50030,-2.94124,-3.05081
0.50170,-2.94093,-3.05045
0.50310,-2.94062,-3.05010
0.50450,-2.94032,-3.04975
0.50591,-2.94001,-3.04940
0.50731,-2.93970,-3.04904
0.50871,-2.93939,-3.04868
0.51011,-2.93908,-3.04833
0.51151,-2.93877,-3.04797
0.51291,-2.93846,-3.04761
0.51431,-2.93815,-3.04725
0.51572,-2.93783,-3.04689
0.51712,-2.93752,-3.04653
0.51852,-2.93721,-3.04616
0.51992,-2.93690,-3.04580
0.52132,-2.93658,-3.04544
0.52272,-2.93627,-3.04507
0.52412,-2.93595,-3.04470
0.52553,-2.93564,-3.04434
0.52693,-2.93532,-3.04397
0.52833,-2.93500,-3.04360
0.52973,-2.93469,-3.04323
0.53113,-2.93437,-3.04286
0.53253,-2.93405,-3.04248
0.53393,-2.93373,-3.04211
0.53534,-2.93341,-3.04173
0.53674,-2.93309,-3.04136
0.53814,-2.93277,-3.04098
0.53954,-2.93245,-3.04060
0.54094,-2.93213,-3.04023
0.54234,-2.93181,-3.03985
0.54374,-2.93148,-3.03947
0.54515,-2.93116,-3.03908
0.54655,-2.93084,-3.03870
0.54795,-2.93051,-3.03832
0.54935,-2.93019,-3.03793
0.55075,-2.92987,-3.03755
0.55215,-2.92954,-3.03716
0.55355,-2.92921,-3.03677
0.55495,-2.92889,-3.03639
0.55636,-2.92856,-3.03600
0.55776,-2.92823,-3.03561
0.55916,-2.92791,-3.03522
0.56056,-2.92758,-3.03482
0.56196,-2.92725,-3.03443
0.56336,-2.92692,-3.03404
0.56476,-2.92659,-3.03364
0.56617,-2.92626,-3.03324
0.56757,-2.92593,-3.03285
0.56897,-2.92560,-3.03245
0.57037,-2.92527,-3.03205
0.57177,-2.92494,-3.03165
0.57317,-2.92461,-3.03125
0.57457,-2.92428,-3.03085
0.57598,-2.92394,-3.03044
0.57738,-2.92361,-3.03004
0.57878,-2.92328,-3.02963
0.58018,-2.92294,-3.02923
0.58158,-2.92261,-3.02882
0.58298,-2.92227,-3.02841
0.58438,-2.92194,-3.02800
0.58579,-2.92160,-3.02759
0.58719,-2.92127,-3.02718
0.58859,-2.92093,-3.02677
0.58999,-2.92060,-3.02636
0.59139,-2.92026,-3.02594
0.59279,-2.91992,-3.02553
0.59419,-2.91958,-3.02511
0.59560,-2.91925,-3.02470
0.59700,-2.91891,-3.02428
0.59840,-2.91857,-3.02386
0.59980,-2.91823,-3.02344
